ticker,price,market_cap,shares,pe,pb,peg,ev_ebitda,p_fcf,roe,roa,roic,debt_equity,total_debt,cash,ttm_fcf,fcf_growth,op_margins,profit_margins,name,sector,industry,dcf_value,margin_of_safety,s_pe,s_pfcf,s_ev_ebitda,s_pb,s_peg,fund_score,s_roe,s_roa,s_margin,s_debt,s_fcf_pos,qual_score,dcf_score,composite,rank
EG,342.48,14376644608,40700000,9.057921,0.901555,,,2.9002712543877345,0.10847,0.02191,,0.23213,3588999936.0,4312000000.0,4957000000.0,0.08949865862019468,0.11728,0.0907,Everest Group,Financials,Reinsurance,2317.69,0.8522,0.945982905982906,0.9841694078947368,,0.9600000000000001,,0.963384104625881,0.726027397260274,0.5978506787330317,0.9054700854700855,0.8181818181818182,1.0,0.8095059959290418,0.9260999999999999,0.9100009356013188,1
HUM,189.83,22831437824,120273068,17.757719,1.2964759,,4.578,9.548907496445002,0.07039,0.043,,0.74815,13269999616.0,19903000576.0,2391000000.0,0.37487721984279854,-0.01793,0.00916,Humana,Health Care,Managed Health Care,757.69,0.7495,0.8342657342657342,0.9466759002770083,0.9661016949152542,0.8902222222222222,,0.9093163879200548,0.7972602739726028,0.6811490978157645,0.9662393162393162,0.40760330578512405,1.0,0.7704503987625616,0.87475,0.8607733354626596,2
ACGL,98.49,35715031040,359000000,8.490517,1.5061245,,6.352,5.393390371488976,0.19540001,0.04437,,0.11273999999999999,2728999936.0,3681999872.0,6622000000.0,0.25079539605400614,0.2953,0.22073,Arch Capital Group,Financials,Property & Casualty Insurance,654.52,0.8495,0.9594871794871794,0.9366776315789473,0.9096045197740112,0.7066666666666668,,0.8781089993767013,0.3287671232876712,0.32975113122171945,0.5543589743589744,0.9272727272727272,1.0,0.6280299912282185,0.92475,0.8342456475889,3
CMCSA,31.34,114199658496,3588401619,5.8144712,1.1656624,,5.661,5.937076085053288,0.2141,0.04795,,1.07863,105032998912.0,9480999936.0,19235000000.0,0.1500401546539305,0.107889995,0.16166,Comcast,Communication Services,Cable & Satellite,102.58,0.6945,1.0,1.0,1.0,0.9118840579710145,,0.9779710144927536,0.3088418430884184,0.5856643356643357,0.7798216276477147,0.3520661157024794,1.0,0.6052787844205897,0.8472500000000001,0.8325095511776112,4
SWKS,60.05,9029935104,150373612,23.007664,1.5630695,,9.162,8.392913006785017,0.06485,0.03714,,0.20714,1192899968.0,1558700032.0,1075900000.0,0.055519092406980386,0.14709,0.097270004,Skyworks Solutions,Information Technology,Semiconductors,119.74,0.4985,0.8158508158508158,0.9848782403770622,0.9263080324244657,0.9500469483568075,,0.9192710092522878,0.8752370916754478,0.8263736263736264,0.7717587576742506,0.7454545454545455,1.0,0.843764804235574,0.74925,0.8323860542971943,5
PRU,103.44,35997122560,348000000,10.354355,1.109538,,8.094,5.7402523616648065,0.11359999,0.00424,,1.24482,44292001792.0,40995000320.0,6271000000.0,0.06729666977602622,0.1041,0.0584,Prudential Financial,Financials,Life & Health Insurance,300.91,0.6562,0.8919658119658119,0.9208470394736842,0.728813559322034,0.8933333333333333,,0.8587399360237158,0.684931506849315,0.955316742081448,0.945982905982906,0.19999999999999998,1.0,0.7572462309827339,0.8281000000000001,0.821110535353984,6
PFG,95.76,21037883392,217400000,14.041056,1.7516327,,11.503,4.63992487858671,0.10524,0.00282,,0.34915,4326400000.0,5691700224.0,4534100000.0,0.13214882917862525,0.14107999,0.075840004,Principal Financial Group,Financials,Life & Health Insurance,474.49,0.7982,0.6488888888888888,0.9525082236842105,0.5480225988700564,0.64,,0.697354927860789,0.7534246575342466,0.985105580693816,0.864957264957265,0.6181818181818183,1.0,0.8443338642734292,0.8991,0.8147976908196334,7
CI,280.31,74878042112,263464000,12.643662,1.8234391,,7.67,8.35972335737412,0.1513,0.04034,,0.75137,31463000064.0,8732000256.0,8957000000.0,0.1405486096978228,0.03346,0.02167,Cigna,Health Care,Health Care Services,702.95,0.6012,0.9631701631701631,0.982225300092336,0.9152542372881357,0.772,,0.9081624251376588,0.4470734744707347,0.7561728395061729,0.8311965811965812,0.38909090909090915,1.0,0.6847067608528796,0.8006,0.8092735390114005,8
UAL,113.03,36592103424,323430419,11.081372,2.3924732,,7.138,14.310560588189285,0.23987,0.04231,,2.03089,31036000256.0,12240000000.0,2557000000.0,0.2704417524155249,0.09139,0.056760002,United Airlines Holdings,Industrials,Passenger Airlines,221.28,0.4892,0.9871794871794871,0.9605263157894737,0.9869621903520208,0.9358649789029536,,0.9676332430559837,0.49973314356876,0.858974358974359,0.7948717948717949,0.12918660287081335,1.0,0.6565531800571455,0.7446,0.8006499300838806,9
DHI,164.12,47775256576,290498069,14.919999,1.9869009,,11.468,14.550100982488198,0.13477,0.07825,,0.22872,5616200192.0,2506299904.0,3283500000.0,0.9948894344524908,0.110240005,0.09948,D. R. Horton,Consumer Discretionary,Homebuilding,388.74,0.5778,0.9339464882943145,0.8059910414333707,0.766949152542373,0.788888888888889,,0.8239438927897367,0.7808219178082192,0.5905619203491543,0.577991452991453,0.8899262899262899,1.0,0.7678603162150234,0.7888999999999999,0.7959054415301636,10
